term,pos,notes,is_case_sensitive,translation_nl
Targeted Coaching Sessions,verb,Focused training sessions to address specific issues with underperforming drivers.,TRUE,Gerichte Coachingsessies
Temporary Link,verb,A time-limited URL used to share videos with others.,FALSE,Tijdelijke link
Tenant Safety Manager,noun,"Users who manage drivers, coach drivers, and generally have access to all safety-related data relating to the Driveri system.",FALSE,Tenant Safety Manager
Tenant Super User,noun,Owners of the customer account who can perform all the actions that are allowed for a customer in IDMS.,FALSE,Tenant SuperUser
Tenant SuperUser Role,noun,A user with special permissions to manage advanced settings like enabling audio recording.,FALSE,Tenant SuperUser-rol
Testing Phase,verb,The trial period for a feature to identify and address any issues.,FALSE,
Third Party,verb,"Alerts caused by actions of other people or vehicles, not the driver.",FALSE,
Third Party Cut-In,verb,"When another vehicle suddenly moves into the lane, creating an unsafe following situation.",FALSE,Derde partij Cut-In
Threshold,verb,"The specific level of G-force or braking force that triggers an alert, usually indicating the seriousness of the action.",FALSE,
Thu,noun,Weekly,FALSE,Do
Time Duration,verb,"The selected period (e.g., daily, weekly, or monthly) for which the driver report is generated.",FALSE,
Time Interval,noun,The time period that must pass before a second violation can trigger a new alert (more than 5 seconds).,FALSE,
Time Period Drop-down,verb,"A menu to select a specific time range for viewing driver data (e.g., daily, weekly, or custom).",FALSE,Drop-down Tijdsperiode
Time-Based Filtering,verb,Sorting alerts by when they occurred to analyze events during specific time frames.,FALSE,Filtering op basis van tijd
Time-limited Link,verb,A temporary link that can only be used for a specific period.,FALSE,Tijdgebonden Link
Timeliness,verb,Ensuring coaching is conducted within a week of the alert to maximize its impact.,FALSE,Tijdigheid
Time-to-Collision,noun,The estimated time remaining before a collision occurs with the vehicle in front.,FALSE,
Toggle Button,verb,A control to switch between full-screen and default view for better viewing experience.,TRUE,Schakelknop
Total,verb,,FALSE,
Total Alert Count,noun,,TRUE,Totaal Aantal Waarschuwingen
Total Minutes Analyzed,noun,The â€šÃ„ÃºMinutes Analyzedâ€šÃ„Ã¹ column on the Drivers page denotes the total number of driving minutes for the driver.,TRUE,Totaal Aantal Geanalyseerde Minuten
Total Minutes Analyzed and Green Minutes%,verb,Total Minutes Analyzed and Green Minutes% offer insights into the proportion of time a driver spends driving within safe and efficient parameters.,FALSE,Totaal aantal geanalyseerde minuten en Green Minutes%
Total Severe Alerts,verb,A high number of Severe Alerts may indicate poor driving habits or a lack of adherence to safety protocols.,FALSE,Totaal ernstige waarschuwingen
Total Trip Duration,verb,Helps evaluate the efficiency of routes and identify any potential issues or delays that may impact overall Fleet performance.,FALSE,Totale reisduur
Track RMA Device Status,noun,The ability to monitor the progress of a device's return and replacement through the RMA process.,FALSE,RMA-apparaatstatus volgen
Traffic Flow,verb,"The movement of vehicles on the road, which can influence following distance.",FALSE,Verkeersstroom
Traffic Laws,verb,"Rules that drivers must follow on the road, such as safe reversing.",FALSE,Verkeersregels
Traffic Light Alert,verb,An alert triggered when a driver brakes hard to stop at a traffic light.,TRUE,Waarschuwing Verkeerslicht
Traffic Light Signals,verb,Lights at intersections or crossings used to control traffic flow and improve road safety.,FALSE,Verkeerslichtsignalen
Traffic Light Violation,noun,Failing to stop at a red light or proceeding before it's safe.,TRUE,Verkeerslichtovertreding
Traffic Lights Alerts,verb,"Alerts triggered when a driver violates traffic light rules, such as running a red light or failing to stop.",FALSE,Waarschuwingen verkeerslichten
Traffic-Light-Hard-Turn,verb,,FALSE,Verkeerslicht-Scherpe bocht
Traffic-Light-Violations,verb,,FALSE,Verkeerslichtovertredingen
Training and Improvement,verb,Using recorded footage to help drivers learn better driving behaviors.,FALSE,Training en verbetering
Transfer of Devices,noun,Feature that helps customers to transfer Active and Inactive devices between the Fleets based on their accessibility.,FALSE,Overdracht van apparaten
Trend Identification,verb,The process of spotting patterns or recurring behaviors in a specific area.,FALSE,Trendidentificatie
Trend Line,noun,A line on a graph that shows changes in the driver's performance over time.,FALSE,Trendlijn
Trend Type,verb,"For following distance, this can indicate either total trends or the average distances kept.",FALSE,Trendtype
Trimmed Video,verb,"A shorter version of the video, focusing on a specific part of the event, with optional audio.",FALSE,Bijgesneden video
TRUE,verb,,FALSE,WAAR
Tue,verb,,FALSE,Di
Turning Radius,verb,The smallest circular turn a vehicle can make.,FALSE,Draaicirkel
Two-Factor Authentication,noun,"An additional security step requiring a code, apart from the password, for login.",FALSE,Tweestaps-authenticatie
U turn,noun,,FALSE,U-bocht
Unassigned Drive Time Report,noun,Unassigned Drive Time Report provides information about the unassigned drive time for all vehicles within a Fleet.,FALSE,Overzicht Niet-Toegewezen Rijtijd
Under Investigation State,verb,A device status indicating that an issue is being examined manually. Devices in this state are not eligible for automatic updates.,FALSE,Staat: Wordt Onderzocht
Ungroup,verb,To separate a grouped set of alerts into individual ones.,FALSE,Loskoppelen
Unknown Driver,verb,A placeholder for drive times where no driver is assigned.,FALSE,Onbekende Bestuurder
Unknown driver minutes,noun,,FALSE,onbekende bestuurdersminuten
Un-Obstructed,verb,Indicates that the camera was not obstructed during the selected duration.,FALSE,Onbelemmerd
Unpredictability,verb,"Actions that other drivers or pedestrians donâ€šÃ„Ã´t expect, causing confusion or danger.",FALSE,Onvoorspelbaarheid
Unsafe Backing,noun,"Reversing without proper visibility or control, which can cause accidents.",FALSE,Onveilig achteruitrijden
Unsafe Driving Behavior,verb,Actions by the driver that could lead to accidents or unsafe situations,FALSE,Onveilig rijgedrag
Unsafe Following Distance,verb,"When the gap between vehicles is too small to stop safely, often measured in seconds.",FALSE,Onveilige volgafstand
Unshare Alert,noun,An option to stop sharing a previously shared alert video with a driver.,FALSE,Stoppen met delen van waarschuwing
Update Notification Preferences,verb,A button to save any changes made to notification settings.,TRUE,Voorkeuren Voor Meldingen Bijwerken
Upload in Progress,verb,A status indicating that the alert video is still being uploaded and is not yet available for viewing.,TRUE,Wordt GeÃ¼pload
Upward Arrow Icon,verb,A symbol in the alert video that indicates the start of a hard turn.,FALSE,
Useful Alert,verb,Feedback option to indicate the alert was helpful or accurate.,FALSE,Nuttige waarschuwing
User Feedback,verb,Insights provided by users to help identify areas of improvement in a product. It plays a crucial role in enhancing user experience.,FALSE,
User Roles,verb,"The different access levels or permissions assigned to users, such as Safety Managers, Drivers, and Auditors, defining what actions they can perform regarding disputes and feedback.",FALSE,
Username,verb,,FALSE,
U-Turn,verb,,TRUE,U-Bocht
U-Turn Alert,noun,A notification triggered when a driver makes a 180-degree turn in a place where U-turns are prohibited.,TRUE,Waarschuwing U-bocht
U-Turn Violation,verb,Making an illegal or unsafe U-turn.,FALSE,Overtreding U-bocht
Valid Alert,noun,An alert confirmed to show correct information about unsafe driving behavior.,FALSE,Geldige waarschuwing
Valid Alerts,noun,Displays information about alerts that the Tenant SafetyUser or Tenant Safety Manager has determined to be valid after reviewing the feedback.,FALSE,Geldige waarschuwingen
Valid Score,verb,A score that reflects a driverâ€šÃ„Ã´s performance and meets the criteria for generating reports.,FALSE,Geldige score
Variance,verb,The difference or change in performance over a period.,FALSE,Variantie
Vehicle,noun,,TRUE,Voertuig
Vehicle and Driver Details,noun,Helps identify and track individual vehicles and drivers.,FALSE,voertuig- en bestuurdersdetails
Vehicle Association,verb,The process of linking installed devices to specific vehicles in the Netradyne Portal for accurate tracking and data association.,FALSE,Voertuigkoppeling
Vehicle Breakdown,noun,"A situation where the vehicle stops working, often requiring repair assistance.",FALSE,Pech met het voertuig
Vehicle Class,noun,The class to which the vehicle belongs. The vehicle class is determined based on vehicle weight.,TRUE,Voertuigklasse
Vehicle GVWR,verb,Gross Vehicle Weight Rating in lbs/kgs as specified by the vehicle manufacturer.,FALSE,Voertuig GVWR
Vehicle Id,verb,,FALSE,Voertuig-id
Vehicle Ignition,verb,"The system used to start the vehicle, which triggers the inward camera to resume recording once the ignition is on and the vehicle reaches 5 mph or more.",FALSE,
Vehicle In Front Alert,noun,A warning triggered when a driver brakes hard to avoid hitting a stopped vehicle ahead.,TRUE,Waarschuwing voorligger
Vehicle Level,verb,A configuration that applies only to a specific vehicle.,FALSE,Voertuigniveau
Vehicle Locator,verb,Feature to locate all the vehicles for a Fleet.,TRUE,Voertuig Zoeken
Vehicle Max G Force,verb,The highest G-force experienced by the vehicle during the collision.,TRUE,Max. G-kracht Voertuig
Vehicle Merging,verb,"When another vehicle moves from an adjacent lane into the same lane as the driver, requiring the driver to adjust speed or position to avoid collision.",FALSE,Voertuig samenvoegen
Vehicle Not Being Driven Until,verb,"An option to mark a vehicle as out of service until a specified time, helping to indicate that the vehicle is not in use.",FALSE,Voertuig niet besturen tot
Vehicle Number,verb,"The number assigned to the vehicle involved in the alert, usually a license plate number.",FALSE,Voertuignummer
Vehicle on Shoulder,verb,"A vehicle stopped on the side of the road, requiring others to maintain safe distance.",FALSE,Bumperklevend Voertuig
Vehicle Utilization Report,noun,"This section provides a high-level summary of the Fleet, including details of Number of Vehicles, Distance, Total Traffic Lights, Total Stop Signs, Total Driving Time, and Total Traffic Time.",FALSE,Rapportage voertuiggebruik
Vehicle-Device Association,verb,The process of linking the new device to the vehicleâ€šÃ„Ã´s system.,FALSE,Vereniging voertuig-apparaat
Vehicles,noun,"Represents information and statistics related to the fleet's vehicles, such as status or maintenance needs.",FALSE,
Vehicles not part of any Group,verb,Lists vehicles not assigned to any Group.,FALSE,
Vertical Ellipsis,verb,"A menu icon with three dots, usually in the top-right corner, offering more options.",FALSE,
Video,verb,,FALSE,
Video & Map,verb,Features to watch alert videos and view the event location on a map.,FALSE,Video & Kaart
Video Availability,noun,"A section that shows the status of the video related to an alert, indicating whether the video is ready, in progress, or unavailable.",TRUE,Videobeschikbaarheid
Video Available,noun,A video of the driving event is ready to watch.,TRUE,Video Beschikbaar
Video Duration,verb,Time interval for which the videos are requested.,FALSE,Duur van de video
Video ID,noun,A unique identifier assigned to each video recorded by the system.,FALSE,Video-id
Video Not Available,verb,"A status meaning that there is no video available for the specific alert, either due to technical issues or other reasons.",TRUE,Video Niet Beschikbaar
Video Pending,verb,A status showing that the video request has been made and the video is being processed and uploaded.,TRUE,Video in Afwachting
Video Request Quota,noun,Number of video requests permissible in a month.,TRUE,Videoverzoekquotum
Video Status,verb,"Indicates whether the video is ready to view, being uploaded, or available on request.",FALSE,Videostatus
Video Stitching,verb,This feature allows the users to combine up to 15 minutes of video (single camera view) in a single file that can be shared with other stakeholders for download.,FALSE,Video samenvoegen
Video Stop Filter,verb,A feature that identifies where and when a vehicle stopped during its drive.,FALSE,Video Stop Filter
Video Upload Request,noun,A process that sends a request to the system to retrieve and upload the selected video.,TRUE,Video uploaden
Videos||videos,noun,,TRUE,
View All,verb,An option to display all alerts,TRUE,Alles Bekijken
View and Download Report,noun,The option to open and save the report for offline use.,FALSE,Rapport Bekijken en Downloaden
View Coaching Details,verb,A clickable link to see more information about a specific coaching session.,FALSE,Coachingdetails Bekijken
View Event Details,noun,"View detailed information about an Alert or DriverStar, including its unique Event ID.",FALSE,Gebeurtenisdetails Bekijken
VIN (Vehicle Identification Number),verb,A unique code identifying a specific vehicle.,FALSE,VIN (Voertuig Identificatie Nummer)
VIN Number,verb,Vehicle Identification Number of the vehicle.,FALSE,VIN-nummer
Violation Distance,noun,The amount of distance the vehicle travels after a violation before a second alert is generated.,FALSE,Overtreding Afstand
Violation Rate,noun,The percentage of times a rule is broken out of all opportunities to follow it.,FALSE,Overtredingspercentage
Virtual Coaching,verb,Type of coaching where the system reviews all alerts and DriverStars generated by each driver in the previous week and recommends a small subset of alerts that can be reviewed by the driver to understand areas they can improve further.,TRUE,Virtuele Coaching
Virtual Coaching Alerts,verb,Alerts designed for remote coaching discussions.,FALSE,Waarschuwingen voor Virtuele Coaching
VLS,verb,"The Visual Login System (VLS) recognizes the driver by scanning the face of the person driving the vehicle using the inward camera, and then verifying this information against a database in Driver.i Cloud to identify the driver.",TRUE,VLS
Weaving,noun,Generated when the driver makes three or more lane changes within 20 seconds.,TRUE,Overmatige Rijstrookwisselingen
Weaving Alert,noun,A warning generated when a driver makes multiple quick lane changes in a short time.,TRUE,Waarschuwing voor Overmatige Rijstrookwisselingen
Wed,verb,Weekly,FALSE,Woe
Week||week,verb,Timeline Frequency,FALSE,
Weekly||weekly,verb,Timeline Frequency,FALSE,
Weekly Chart,verb,A graph that shows performance data for each week.,TRUE,Wekelijkse Grafiek
Weekly Report,verb,A summary of driver performance and activity during a specific week.,TRUE,Wekelijks Rapport
Weekly Review Session,verb,"A session generated every Monday, where drivers review feedback, DriverStars, and alerts from the previous week to improve their driving habits.",TRUE,Wekelijkse Evaluatiesessie
Weekly Review Sessions,verb,Gain awareness about impactful driving behaviors affecting their score.,TRUE,Wekelijkse Evaluatiesessies
What's New,noun,,FALSE,Nieuw
Widget,verb,"A small interactive feature in software, showing specific information like coaching sessions.",FALSE,Widget
WKT (Well-Known Text),noun,"A format for representing geographic shapes like points, lines, and polygons in text.",FALSE,BT (Bekende Tekst)
Yard Moves,verb,"Refers to the activity of moving a vehicle within a yard or parking area, which may be subject to specific regulations for drivers.",FALSE,Aantal verplaatste meters
Yawning,verb,"Opening the mouth wide to breathe in deeply, often a sign of being tired or sleepy.",FALSE,
Year,verb,Weekly,FALSE,
Yearly,verb,Timeline Frequency,FALSE,
Yellow Trace,verb,A graph line in the alert video showing the direction and intensity of a vehicleâ€šÃ„Ã´s turn.,FALSE,
Yellow Vertical Line,verb,A marker on the graph indicating when a coaching session happened.,FALSE,
Yellow Zone,verb,A moderate-risk situation where the Following Distance is 1.2 seconds.,FALSE,
Zipcode,verb,The postal code of the area where the geofence is set.,FALSE,
RMA,noun,Non-Translatable Words,TRUE,RMA
IDMS,noun,Non-Translatable Words,TRUE,IDMS
GVWR,noun,Non-Translatable Words,TRUE,GVWR
IAM,noun,Non-Translatable Words,TRUE,IAM
FOV,noun,Non-Translatable Words,TRUE,FOV
OTA,noun,Non-Translatable Words,TRUE,OTA
OBD,noun,Non-Translatable Words,TRUE,OBD
ISP,noun,Non-Translatable Words,TRUE,ISP
MSP,noun,Non-Translatable Words,TRUE,MSP
CAN,noun,Non-Translatable Words,TRUE,
DRP,noun,Non-Translatable Words,TRUE,DRP
GND,noun,Non-Translatable Words,TRUE,GND
CAV,noun,Non-Translatable Words,TRUE,CAV
LDW,noun,Non-Translatable Words,TRUE,LDW
OEM,noun,Non-Translatable Words,TRUE,OEM
FMCSA,noun,Non-Translatable Words,TRUE,FMCSA
SKU,noun,Non-Translatable Words,TRUE,SKU
AFD,noun,Non-Translatable Words,TRUE,AFD
RFID,noun,Non-Translatable Words,TRUE,RFID
REL,noun,Non-Translatable Words,TRUE,REL
ACC,noun,Non-Translatable Words,TRUE,ACC
AUX,noun,Non-Translatable Words,TRUE,AUX
Intelligent Driver Monitoring System,noun,Non-Translatable Words,FALSE,Intelligent Bestuurders bewakingssysteem
Average Following Distance,noun,Average time a vehicle in the same lane is followed (in traffic).,TRUE,Gemiddelde Volgafstand
GreenZone,noun,Non-Translatable Words,FALSE,GreenZone
API,noun,Non-Translatable Words,TRUE,
VIN,noun,Non-Translatable Words,TRUE,
VLS,noun,Non-Translatable Words,TRUE,
IMU,noun,Non-Translatable Words,TRUE,
HTTPS,noun,Non-Translatable Words,TRUE,
JSON,noun,Non-Translatable Words,TRUE,
HTTP,noun,Non-Translatable Words,TRUE,
REST,noun,Non-Translatable Words,TRUE,
GPS,noun,Non-Translatable Words,TRUE,
AWS,noun,Non-Translatable Words,TRUE,AWS
KMS,noun,Non-Translatable Words,TRUE,KMS
ARN,noun,Non-Translatable Words,TRUE,ARN
Amazon S3,noun,Non-Translatable Words,TRUE,Amazon S3
kph/kmph,noun,Non-Translatable Words,TRUE,kph/kmph
mph,noun,Non-Translatable Words,TRUE,mph
LED,noun,Non-Translatable Words,TRUE,LED
IOS,noun,Non-Translatable Words,TRUE,IOS
Wi-Fi,noun,Non-Translatable Words,TRUE,Wi-Fi
ELD,noun,Non-Translatable Words,TRUE,ELD
HoS,noun,Non-Translatable Words,TRUE,HoS
FNOL,noun,Non-Translatable Words,TRUE,FNOL
RODS,noun,Non-Translatable Words,TRUE,RODS
Application Programming Interface,noun,Non-Translatable Words,FALSE,Application Programming Interface
Vehicle Identification Number,noun,Non-Translatable Words,FALSE,Vehicle Identification Number
Visual Login System,noun,Non-Translatable Words,FALSE,Visual Login System
Inertial Measurement Unit,noun,Non-Translatable Words,FALSE,Inertial Measurement Unit
Hypertext Transfer Protocol Secure,noun,Non-Translatable Words,FALSE,Hypertext Transfer Protocol Secure
JavaScript Object Notation,noun,Non-Translatable Words,FALSE,JavaScript Object Notation
Hypertext Transfer Protocol,noun,Non-Translatable Words,FALSE,Hypertext Transfer Protocol
Representational State Transfer,noun,Non-Translatable Words,FALSE,Representational State Transfer
Global Positioning System,noun,Non-Translatable Words,FALSE,Global Positioning System
Amazon Web Services,noun,Non-Translatable Words,FALSE,Amazon Web Services
Amazon Simple Storage Service,noun,Non-Translatable Words,FALSE,Amazon Simple Storage Service
Kilometers per hour,noun,Non-Translatable Words,FALSE,Kilometers per hour
Miles per hour,noun,Non-Translatable Words,FALSE,Miles per hour
Light Emitting Diode,noun,Non-Translatable Words,FALSE,Light Emitting Diode
iPhone Operating System,noun,Non-Translatable Words,FALSE,iPhone Operating System
Wireless Fidelity,noun,Non-Translatable Words,FALSE,Wireless Fidelity
Webhook,noun,Non-Translatable Words,FALSE,Webhook
Electronic Logging Device,noun,Non-Translatable Words,FALSE,Electronic Logging Device
Hours of Service,noun,Non-Translatable Words,FALSE,Hours of Service
Record of Duty Status,noun,Non-Translatable Words,FALSE,Record of Duty-Status
Driver.i Device Association,noun,A one-to-one mapping between a vehicle and device.,FALSE,Driverâ€¢i Apparaatassociatie
Driver.i Device Installation Report,verb,A report summarizing the installation details of devices on fleet vehicles and diagnostics data for a specified period.,FALSE,Driverâ€¢i Apparaat installatierapport
Driver.i Device Inventory Report,verb,Device Inventory Report is a comprehensive summary that displays device information associated with a specific order.,FALSE,Driverâ€¢i Apparaatinventarisatierapport
Driver.i Device Shipment Details,verb,Information about when the device was shipped to the fleet or user.,FALSE,Driverâ€¢i apparaatverzending details
Driver.i Device,verb,The electronic system or device installed in a vehicle that tracks and generates alerts based on the driver's behavior.,TRUE,Driverâ€¢i-Apparaat
Driver Performance Ranking,verb,Evaluates individual drivers based on their GreenZone Scores,FALSE,Prestatieclassificatie Bestuurder
Driver's Alert Page,verb,A page listing all alerts for a specific driver during a selected time period.,FALSE,Waarschuwingspagina Bestuurder
Driver's Latest Coaching Session,verb,A quick link to the most recent coaching session (manual or virtual) for a driver.,FALSE,Meest Recente Coachingsessie Bestuurder
Driver's Score Trend,verb,,FALSE,Scoreverloop Bestuurder
Driver.i Device Id,verb,,FALSE,Driverâ€¢i Apparaat-id
Driver.i Device Summary,verb,,FALSE,Driverâ€¢i-Apparaatoverzicht
Driver.i Hubx,verb,Non-Translatable Words,FALSE,Driverâ€¢i Hubx
Driver.i Portal,noun,"The platform or interface where safety managers can monitor driver behavior, assign coaching, and track performance metrics.",FALSE,Driverâ€¢i-Portaal
Driver.i Store,noun,,FALSE,Driverâ€¢i Winkel
"Greyed-out ""G"" Icon",verb,An indicator that a GreenZone Score is available for the selected time period.,FALSE,"Uitgegrijsde ""G""-pictogram"
Inward Complete - Bad FOV,verb,Alert for camera view blockage caused by a foreign object.,FALSE,Binnenwaarts Compleet - Slechte FOV
Inward Complete - Bad Mount,verb,Alert for incorrect camera installation or mounting.,FALSE,Binnenwaarts Compleet - Slechte montage
m/s,verb,"A unit of acceleration, meters per second squared, indicating how quickly speed changes.",FALSE,m/s
Manager's Comments,noun,Feedback or notes from a manager regarding a specific event or driving behavior.,FALSE,Opmerkingen van de manager
Visual Login System Training,verb,A system that automatically assigns drivers to alerts based on visual data.,FALSE,Training visueel Login systeem
Return Merchandise Authorization,,,FALSE,Retourzendingsautorisatie
Gross Vehicle Weight Rating,,,FALSE,Bruto voertuiggewicht
Identity and Access Management,,,FALSE,Identiteits- en toegangsbeheer
Over The Air,,,FALSE,Via de lucht
On,,,FALSE,
Internet Service Provider,,,FALSE,Internetprovider
Managed Service Provider,,,FALSE,Beheerde Serviceleverancier
Controller Area Network,,,FALSE,
Data Retention Policy,,,FALSE,Beleid gegevensbewaring
Ground,,,FALSE,Basis
Collision Avoidance,,,FALSE,Botsing vermijden
Lane Departure Warning,,,FALSE,Waarschuwing voor onbedoeld verlaten van de rijstrook
Original Equipment Manufacturer,,,FALSE,Oorspronkelijke onderdelen fabrikant
Federal Motor Carrier Safety Administration,,,FALSE,Federale Motorvoertuigen Veiligheidsadministratie
DOT US Department of Transportation,,,FALSE,DOT US Departement voor Transport
Stock Keeping Unit,,,FALSE,
Average Following Distance,,,FALSE,
Radio Frequency Identification,,,FALSE,Radiofrequentie-identificatie
Relative Speed,,,TRUE,Relatieve Snelheid
Accessory,,,FALSE,
Auxillary,,,FALSE,
Key Management Service,noun,Non-Translatable Words,FALSE,Key Management Service
Amazon Resource Names,noun,Non-Translatable Words,FALSE,Amazon Resource Names
DHUB,noun,Non-Translatable Words,TRUE,DHUB
VBUS,noun,Non-Translatable Words,TRUE,VBUS
Kilometers,noun,Non-Translatable Words,TRUE,
Miles,noun,Non-Translatable Words,TRUE,
Driverâ€¢i Assistant||Driver.i Assistant,,,FALSE,Driverâ€¢i Assistant||Driver.i Assistant
Intelligent Driving Monitoring System||Intelligent Driving Monitoring System (IDMS),,,TRUE,Intelligent Driving Monitoring System||Intelligent Driving Monitoring System (IDMS)
to,noun,,FALSE,
Green Minutes||Green Minutes %||Green Min||(Green Mins %),,Proprietary term,TRUE,Green Minutes||Green Minutes %||Green Min||(Green Mins %)
Data Transfer,,,FALSE,
Digital Locker,noun,,TRUE,Digital Locker
Driverâ€¢iHub-X,verb,,FALSE,Driverâ€¢iHub-X
Google Play Store,noun,,TRUE,
Apple App Store,noun,,FALSE,
Vehicle Data Reader,,,TRUE,Vehicle Data Reader
Driverâ€¢i,,,TRUE,Driverâ€¢i
Violation,noun,,FALSE,
Please login again,noun,,FALSE,
generic object,,,FALSE,object (algemeen)
Customer Impact,,,FALSE,Gevolgen voor de Klant
Compliance Module,,,FALSE,Nalevingsmodule
Low power mode,,,FALSE,Spaarstand
Driver Management System,,,FALSE,Driver Management System
Front Camera,,,TRUE,Voorcamera
HOS,,,FALSE,
VHB||abbreviation,,,FALSE,
AP,,,FALSE,
AP Mode,,,FALSE,
Video Search,noun,,TRUE,Video Zoeken
Driver.i,,,FALSE,Driverâ€¢i
Always share alerts with drivers,,In the Driver.i Mobile App Access section under App Settings on the Configurations page. This option allows users to select the alerts that can be shared directly with drivers on the app.,FALSE,Waarschuwingen altijd delen met bestuurders
App Settings,,,FALSE,App-Instellingen
Driver information,,,FALSE,bestuurdersinformatie
Driver safety,,,FALSE,bestuurdersveiligheid
Rules management,,,FALSE,Regelbeheer
Drowsy Management,,,FALSE,Vermoeidheidsbeheer
Drowsy detection,,,FALSE,vermoeidheidsdetectie
Drowsy alert,,,FALSE,Vermoeidheidswaarschuwing
Driver Drowsiness,,,TRUE,Vermoeide Bestuurder
Last Viewed,,,TRUE,Laatst Bekeken
Recent Action Log,,,FALSE,Recent Actielogboek
Accessory Summary,,,TRUE,Accessoireoverzicht
Alert,noun,,TRUE,Waarschuwing
fleets,,,FALSE,wagenparken
New Faces,,,FALSE,Nieuwkomers
Acceleration pedal,,,TRUE,Gaspedaal
View Alert,,,TRUE,Waarschuwing Bekijken
Alert Dispute,,,FALSE,Waarschuwingsgeschil
SIM Detected,,,FALSE,
SD Card Detected,,,FALSE,
Response Time,,,FALSE,
Level Granularity,noun,,FALSE,Detail per Niveau
Group Granularity,noun,,FALSE,Detail per Groep
Node Total,noun,,FALSE,Niveautotaal
Group Total,noun,,FALSE,Groepstotaal
My Drivers & Vehicles,noun,,TRUE,Mijn Bestuurders & Voertuigen
Ungrouped Entities,noun,,FALSE,Niet-Gegroepeerde Entiteiten
Create Request,noun,,TRUE,Aanvraag Aanmaken
Enter Video Search Keywords,noun,,TRUE,Videotrefwoorden Invoeren
RMA,,,FALSE,
Health Report,noun,,FALSE,Statusrapport
blind zone,noun,,FALSE,dode hoek
Individual Alerts & External Monitoring Alerts,noun,,TRUE,Individuele Waarschuwingen & Externe Controlewaarschuwingen
Alerts page,noun,,FALSE,Waarschuwingspagina
Device Inventory Report,noun,,FALSE,Apparaatinventarisatierapport
safety event,noun,,FALSE,veiligheidsincident
risky,noun,,FALSE,gevaarlijk
In-Cab Audio Alert,noun,,FALSE,Cabine-Audiowaarschuwing
Driver Not Wearing Seatbelt,noun,,FALSE,Bestuurder Heeft Gordel Niet Om
Driverâ€¢i Accessory Health Report,noun,,FALSE,Statusrapport van het Driverâ€¢i-Accessoire
Driverâ€¢i device,noun,,TRUE,Driverâ€¢i-apparaat
Edit Configuration Parameters for Driver Assignment,noun,,FALSE,Configuratieparameters voor Bestuurdersopdracht Bewerken
PCB,,,FALSE,
Pedestrian Collision Warning,noun,,FALSE,Voetgangersbotswaarschuwing
RMA status,noun,,FALSE,RMA-status
RMA request,noun,,FALSE,RMA-verzoek
Select All,noun,,TRUE,Alles Selecteren
Save Changes,noun,,TRUE,Wijzingen Opslaan
alert decoration,noun,,FALSE,waarschuwingsmarkering
Download an Alert Video,noun,,TRUE,Waarschuwingsvideo Downloaden
Share an Alert Video,noun,,FALSE,Waarschuwingsvideo delen
Strong Match,noun,,TRUE,Sterke Overeenkomst
Partial Match,noun,,FALSE,Gedeeltelijke Overeenkomst
Weak Match,noun,,FALSE,Zwakke Overeenkomst
Convert to Alert,noun,,FALSE,Omzetten naar Waarschuwing
Convert to Potential Collision,noun,,FALSE,Omzetten naar PotentiÃ«le Botsing
Potential Collision Alert,noun,,FALSE,PotentiÃ«le Botsingswaarschuwing
video player,noun,,TRUE,videospeler
Distracted Driving Lane Departure,noun,,FALSE,Rijbaanafwijking Door Afleiding
Personal Notification Preferences,noun,,FALSE,Persoonlijke Meldingsvoorkeuren
Play Video,noun,,TRUE,Video Afspelen
Select Camera View,noun,,TRUE,Camerabeeld Selecteren
Stitched Views,noun,,TRUE,Samengevoegde Beelden
Add to Digital Locker,noun,,FALSE,Toevoegen aan Digitale Locker
Add Videos to Digital Locker,noun,,FALSE,Video's Toevoegen aan Digitale Locker
Data Retention Policy,noun,,TRUE,Gegevensbewaringsbeleid
Offline/Recovery notifications,noun,,FALSE,Offline-/Herstelmeldingen
Key-Off Recording,,,FALSE,
Driver streaks,noun,,FALSE,Driver Streaks
ECU,,,FALSE,
Driver Performance Ranking,noun,,FALSE,Rangschikking Bestuurdersprestaties
Alert Risk Profile,noun,,FALSE,Waarschuwingsrisicoprofiel
Fleet performance,noun,,TRUE,Wagenparkprestaties
Saved Videos,,,TRUE,Opgeslagen Video's
All Filters,,,TRUE,Alle Filters
External Users,,,TRUE,Externe Gebruikers
In-Cab Alerts,,,TRUE,Cabinewaarschuwingen
VLS Training Dashboard,,,FALSE,VLS-Trainingsdashboard
Vehicle Defects Report,,,FALSE,Voertuigdefectenrapport
Driver Vehicle Inspection Reports,,,FALSE,Voertuigrapporten door Bestuurders
Driver ID,,,FALSE,Bestuurders-id
Speeding Window Time,,,FALSE,Tijdsvenster voor Snelheidsovertredingen
Vehicle Operations Report,,,FALSE,Voertuigprestatierapport
Fuel Used Since Last Fill-Up,,,TRUE,Brandstof Verbruikt Sinds Laatste Tankbeurt
Fuel Used,,,TRUE,Verbruikte Brandstof
Backing Alert,,,FALSE,Achteruitrijwaarschuwing
Backing Alerts,,,FALSE,Achteruitrijwaarschuwingen
Delete Configuration,,,TRUE,Configuratie Verwijderen
the Driverâ€¢i,,,TRUE,het Driverâ€¢i
Video Downloads,,,FALSE,Videodownloads
Alert Views,,,TRUE,Waarschuwingsweergave
Video Requests,,,TRUE,Videoaanvragen
